Year,State,Arbovirus,Corvid
2000,CT,WNV,1118
2000,MA,WNV,449
2000,NH,WNV,7
2000,RI,WNV,87
2000,VT,WNV,1
2001,CT,WNV,444
2001,MA,WNV,1104
2001,ME,WNV,7
2001,NH,WNV,83
2001,RI,WNV,245
2002,CT,WNV,528
2002,MA,WNV,574
2002,ME,WNV,71
2002,NH,WNV,119
2002,RI,WNV,167
2002,VT,WNV,125
2003,CT,WNV,522
2003,MA,WNV,428
2003,ME,WNV,79
2003,NH,WNV,213
2003,RI,EEE,4
2003,RI,WNV,47
2003,VT,WNV,116
2004,CT,WNV,27
2004,MA,WNV,8
2004,ME,WNV,1
2004,NH,EEE,3
2004,NH,WNV,14
2004,RI,EEE,3
2004,RI,WNV,5
2004,VT,WNV,9
2005,CT,WNV,22
2005,MA,WNV,83
2005,ME,EEE,12
2005,ME,WNV,22
2005,NH,EEE,54
2005,NH,WNV,46
2005,RI,WNV,2
2005,VT,WNV,4
2006,MA,WNV,57
2006,ME,WNV,11
2006,NH,EEE,5
2006,NH,WNV,22
2006,VT,WNV,9
2007,MA,WNV,43
2007,NH,WNV,2
2007,VT,WNV,3
2008,MA,WNV,63
2008,VT,WNV,1
2009,ME,EEE,3
2009,NH,EEE,6
2009,VT,WNV,4
2010,ME,EEE,1
2010,VT,WNV,1
2011,ME,EEE,10
2011,VT,WNV,16
2012,ME,EEE,1
2013,CT,EEE,2
2013,ME,EEE,1
2015,NH,WNV,1
2018,CT,EEE,1
2018,CT,WNV,2
2018,NH,WNV,4
2018,VT,WNV,2
2019,CT,EEE,2
2019,MA,EEE,1
2019,NH,WNV,1
2020,CT,EEE,1
2021,CT,WNV,3
