Year,Species,Num
2000,Aedes triseriatus,1
2000,Culex pipiens,5
2000,Culex restuans,5
2000,Culex salinarius,2
2000,Culex sp.,2
2000,Culiseta melanura,3
2001,Aedes c. canadensis,3
2001,Aedes cantator,1
2001,Aedes cinereus,1
2001,Aedes j. japonicus,1
2001,Aedes sollicitans,1
2001,Aedes taeniorhynchus,1
2001,Aedes triseriatus,1
2001,Aedes vexans,1
2001,Anopheles punctipennis,2
2001,Anopheles quadrimaculatus s.l.,2
2001,Coquillettidia perturbans,2
2001,Culex pipiens,20
2001,Culex pipiens-restuans (Mixed),2
2001,Culex restuans,6
2001,Culex salinarius,6
2001,Culex sp.,12
2001,Culiseta melanura,8
2001,Culiseta sp.,1
2001,Orthopodomyia signifera,1
2001,Uranotaenia sapphirina,1
2002,Aedes j. japonicus,2
2002,Aedes sollicitans,1
2002,Aedes triseriatus,1
2002,Aedes trivittatus,1
2002,Aedes vexans,6
2002,Anopheles punctipennis,1
2002,Anopheles walkeri,1
2002,Coquillettidia perturbans,1
2002,Culex pipiens,79
2002,Culex pipiens-restuans (Mixed),30
2002,Culex restuans,18
2002,Culex salinarius,3
2002,Culex sp.,41
2002,Culiseta melanura,2
2002,Uranotaenia sapphirina,1
2003,Aedes c. canadensis,2
2003,Aedes cinereus,3
2003,Aedes sticticus,2
2003,Aedes trivittatus,1
2003,Aedes vexans,4
2003,Anopheles walkeri,1
2003,Coquillettidia perturbans,1
2003,Culex pipiens,37
2003,Culex pipiens-restuans (Mixed),4
2003,Culex restuans,13
2003,Culex salinarius,14
2003,Culex sp.,27
2003,Culiseta impatiens,1
2003,Culiseta melanura,37
2003,Culiseta morsitans,8
2003,Psorophora ferox,2
2003,Uranotaenia sapphirina,1
2004,Aedes c. canadensis,5
2004,Aedes dupreei,1
2004,Aedes triseriatus,1
2004,Aedes trivittatus,1
2004,Aedes vexans,5
2004,Anopheles quadrimaculatus s.l.,1
2004,Culex pipiens,38
2004,Culex pipiens-restuans (Mixed),14
2004,Culex restuans,10
2004,Culex salinarius,5
2004,Culex sp.,2
2004,Culex territans,3
2004,Culiseta impatiens,2
2004,Culiseta melanura,38
2004,Culiseta morsitans,8
2005,Aedes cinereus,1
2005,Aedes j. japonicus,3
2005,Aedes triseriatus,2
2005,Aedes vexans,2
2005,Coquillettidia perturbans,3
2005,Culex pipiens,43
2005,Culex pipiens-restuans (Mixed),68
2005,Culex restuans,3
2005,Culex salinarius,7
2005,Culex sp.,5
2005,Culiseta melanura,51
2005,Culiseta morsitans,10
2006,Aedes c. canadensis,3
2006,Aedes triseriatus,2
2006,Aedes vexans,6
2006,Coquillettidia perturbans,13
2006,Culex pipiens,192
2006,Culex pipiens-restuans (Mixed),28
2006,Culex restuans,19
2006,Culex salinarius,16
2006,Culex sp.,5
2006,Culiseta melanura,182
2006,Culiseta minnesotae,1
2006,Culiseta morsitans,7
2006,Psorophora ferox,1
2007,Aedes c. canadensis,2
2007,Aedes cinereus,1
2007,Aedes j. japonicus,2
2007,Aedes taeniorhynchus,1
2007,Aedes vexans,1
2007,Coquillettidia perturbans,2
2007,Culex pipiens,69
2007,Culex pipiens-restuans (Mixed),63
2007,Culex restuans,1
2007,Culex salinarius,1
2007,Culiseta melanura,37
2007,Culiseta morsitans,1
