Year,State,fipscode,COUNT
2001,CT,9001,3
2001,CT,9009,3
2001,MA,25005,2
2001,MA,25017,1
2002,CT,9001,5
2002,CT,9003,4
2002,CT,9009,1
2002,MA,25009,2
2002,MA,25017,7
2002,MA,25021,3
2002,MA,25025,6
2002,MA,25027,1
2002,RI,44007,1
2003,CT,9001,5
2003,CT,9003,1
2003,CT,9005,1
2003,CT,9007,3
2003,CT,9011,1
2003,CT,9013,1
2003,MA,25005,1
2003,MA,25013,1
2003,MA,25017,5
2003,MA,25021,2
2003,MA,25025,1
2003,MA,25027,2
2003,NH,33001,1
2003,NH,33011,1
2003,RI,44005,1
2003,RI,44007,4
2005,CT,9001,1
2005,CT,9003,2
2005,CT,9009,1
2005,MA,25005,1
2005,MA,25017,2
2005,MA,25025,1
2005,RI,44007,1
2006,CT,9001,3
2006,CT,9009,4
2006,MA,25017,1
2006,MA,25027,1
2007,CT,9001,1
2007,CT,9003,1
2007,MA,25017,2
2007,MA,25027,1
2008,CT,9001,5
2008,MA,25017,1
2008,RI,44007,1
2010,CT,9001,4
2010,CT,9003,1
2010,CT,9007,1
2010,CT,9009,1
2010,MA,25013,1
2010,MA,25017,1
2010,MA,25025,3
2010,MA,25027,1
2010,NH,33011,1
2011,CT,9001,5
2011,CT,9003,1
2011,CT,9009,2
2011,MA,25009,1
2011,MA,25017,3
2011,MA,25021,1
2011,RI,44007,1
2011,VT,50001,1
2012,CT,9001,6
2012,CT,9003,1
2012,CT,9009,4
2012,CT,9011,1
2012,MA,25003,1
2012,MA,25013,3
2012,MA,25017,8
2012,MA,25021,2
2012,MA,25023,1
2012,MA,25025,6
2012,MA,25027,4
2012,ME,23005,1
2012,NH,33011,1
2012,RI,44001,1
2012,RI,44007,1
2012,VT,50011,1
2013,CT,9001,1
2013,MA,25009,2
2013,MA,25013,1
2013,MA,25021,2
2013,MA,25023,1
2013,MA,25025,1
2013,NH,33005,1
2013,RI,44009,1
2013,VT,50007,1
2014,CT,9001,1
2014,CT,9009,2
2014,MA,25009,1
2014,MA,25017,4
2015,CT,9001,6
2015,CT,9009,2
2015,MA,25017,2
2015,MA,25025,4
2015,MA,25027,1
2015,ME,23005,1
2016,CT,9009,1
2016,MA,25017,8
2016,MA,25021,1
2016,MA,25025,1
2016,RI,44007,2
2016,VT,50027,2
2017,CT,9001,1
2017,CT,9009,1
2017,MA,25001,1
2017,MA,25005,1
2017,MA,25013,1
2017,MA,25017,2
2017,RI,44007,1
2017,VT,50001,1
2017,VT,50013,1
2018,CT,9001,9
2018,CT,9003,4
2018,CT,9007,2
2018,CT,9009,2
2018,CT,9015,1
2018,MA,25001,3
2018,MA,25003,1
2018,MA,25005,2
2018,MA,25009,7
2018,MA,25011,1
2018,MA,25015,2
2018,MA,25017,12
2018,MA,25021,1
2018,MA,25023,2
2018,MA,25025,9
2018,MA,25027,2
2018,ME,23005,1
2018,VT,50003,1
2019,CT,9001,1
2019,MA,25017,1
2019,MA,25023,1
2020,CT,9001,3
2020,CT,9003,1
2020,CT,9009,1
2020,MA,25005,1
2020,MA,25013,1
2020,MA,25017,7
2020,ME,23005,1
2021,CT,9001,2
2021,CT,9003,1
2021,CT,9009,2
2021,MA,25005,1
2021,MA,25009,1
2021,MA,25017,7
2021,NH,33015,1
2021,RI,44007,1
2021,VT,50007,1
