Year,State,COUNT
2000,CT,1
2002,CT,7
2002,MA,4
2002,VT,1
2003,CT,5
2003,MA,5
2003,NH,1
2003,RI,2
2003,VT,3
2004,CT,1
2005,CT,2
2005,MA,2
2006,CT,2
2006,MA,1
2007,CT,2
2007,MA,3
2007,RI,1
2008,CT,3
2010,CT,4
2010,MA,1
2011,CT,1
2011,MA,1
2012,CT,9
2012,MA,8
2012,RI,2
2012,VT,2
2013,CT,3
2013,MA,1
2013,VT,1
2014,CT,3
2014,MA,1
2015,CT,2
2015,MA,3
2016,MA,7
2017,CT,1
2017,MA,1
2017,NH,1
2017,RI,1
2017,VT,1
2018,CT,5
2018,MA,7
2018,ME,1
2018,RI,1
2019,MA,3
2020,CT,3
2020,MA,3
2021,CT,2
2021,MA,2
2021,RI,1
