County,Species,Virus,Collection Date,Years,Count of County
Barnstable,Aedes vexans,EEE,Sep,2019,1
Barnstable,Coquillettidia perturbans,EEE,Aug,2019,5
Barnstable,Culex pipiens/restuans complex,EEE,Jul,2019,1
Barnstable,Culex pipiens/restuans complex,EEE,Aug,2016,1
Barnstable,Culex pipiens/restuans complex,EEE,Aug,2019,2
Barnstable,Culex pipiens/restuans complex,EEE,Sep,2019,1
Barnstable,Culex pipiens/restuans complex,WNV,Jul,2016,1
Barnstable,Culex pipiens/restuans complex,WNV,Jul,2018,2
Barnstable,Culex pipiens/restuans complex,WNV,Aug,2015,2
Barnstable,Culex pipiens/restuans complex,WNV,Aug,2016,7
Barnstable,Culex pipiens/restuans complex,WNV,Aug,2017,5
Barnstable,Culex pipiens/restuans complex,WNV,Aug,2018,15
Barnstable,Culex pipiens/restuans complex,WNV,Sep,2014,1
Barnstable,Culex pipiens/restuans complex,WNV,Sep,2016,1
Barnstable,Culex pipiens/restuans complex,WNV,Sep,2017,3
Barnstable,Culex pipiens/restuans complex,WNV,Sep,2018,6
Barnstable,Culex salinarius,WNV,Aug,2019,1
Barnstable,Culiseta melanura,EEE,Aug,2019,2
Barnstable,Culiseta melanura,EEE,Sep,2019,3
Barnstable,Culiseta melanura,WNV,Aug,2018,4
Barnstable,Ochlerotatus japonicus,WNV,Aug,2017,1
Berkshire,Coquillettidia perturbans,WNV,Jul,2018,1
Berkshire,Culex pipiens/restuans complex,WNV,Jun,2017,1
Berkshire,Culex pipiens/restuans complex,WNV,Jul,2015,2
Berkshire,Culex pipiens/restuans complex,WNV,Jul,2017,2
Berkshire,Culex pipiens/restuans complex,WNV,Jul,2018,13
Berkshire,Culex pipiens/restuans complex,WNV,Jul,2019,1
Berkshire,Culex pipiens/restuans complex,WNV,Aug,2014,1
Berkshire,Culex pipiens/restuans complex,WNV,Aug,2015,5
Berkshire,Culex pipiens/restuans complex,WNV,Aug,2016,3
Berkshire,Culex pipiens/restuans complex,WNV,Aug,2017,23
Berkshire,Culex pipiens/restuans complex,WNV,Aug,2018,29
Berkshire,Culex pipiens/restuans complex,WNV,Sep,2014,1
Berkshire,Culex pipiens/restuans complex,WNV,Sep,2015,1
Berkshire,Culex pipiens/restuans complex,WNV,Sep,2017,4
Berkshire,Culex pipiens/restuans complex,WNV,Sep,2018,15
Berkshire,Culiseta melanura,WNV,Aug,2018,1
Bristol,Aedes vexans,EEE,Jul,2019,2
Bristol,Coquillettidia perturbans,EEE,Jul,2019,20
Bristol,Coquillettidia perturbans,EEE,Aug,2019,11
Bristol,Culex pipiens/restuans complex,EEE,Jul,2019,1
Bristol,Culex pipiens/restuans complex,EEE,Sep,2014,1
Bristol,Culex pipiens/restuans complex,WNV,Jul,2015,2
Bristol,Culex pipiens/restuans complex,WNV,Jul,2017,1
Bristol,Culex pipiens/restuans complex,WNV,Jul,2018,1
Bristol,Culex pipiens/restuans complex,WNV,Jul,2020,1
Bristol,Culex pipiens/restuans complex,WNV,Aug,2014,5
Bristol,Culex pipiens/restuans complex,WNV,Aug,2015,6
Bristol,Culex pipiens/restuans complex,WNV,Aug,2016,4
Bristol,Culex pipiens/restuans complex,WNV,Aug,2017,8
Bristol,Culex pipiens/restuans complex,WNV,Aug,2018,31
Bristol,Culex pipiens/restuans complex,WNV,Aug,2019,4
Bristol,Culex pipiens/restuans complex,WNV,Aug,2020,8
Bristol,Culex pipiens/restuans complex,WNV,Sep,2014,1
Bristol,Culex pipiens/restuans complex,WNV,Sep,2015,4
Bristol,Culex pipiens/restuans complex,WNV,Sep,2016,3
Bristol,Culex pipiens/restuans complex,WNV,Sep,2017,2
Bristol,Culex pipiens/restuans complex,WNV,Sep,2018,6
Bristol,Culex pipiens/restuans complex,WNV,Sep,2020,2
Bristol,Culex salinarius,EEE,Jul,2019,5
Bristol,Culex salinarius,EEE,Aug,2019,7
Bristol,Culex salinarius,EEE,Sep,2019,1
Bristol,Culex salinarius,WNV,Jul,2015,1
Bristol,Culex salinarius,WNV,Sep,2019,2
Bristol,Culiseta melanura,EEE,Jul,2014,2
Bristol,Culiseta melanura,EEE,Jul,2019,57
Bristol,Culiseta melanura,EEE,Aug,2014,7
Bristol,Culiseta melanura,EEE,Aug,2017,1
Bristol,Culiseta melanura,EEE,Aug,2019,34
Bristol,Culiseta melanura,EEE,Sep,2014,5
Bristol,Culiseta melanura,EEE,Sep,2019,6
Bristol,Culiseta melanura,EEE,Oct,2019,2
Bristol,Culiseta melanura,WNV,Jul,2019,3
Bristol,Culiseta melanura,WNV,Aug,2014,2
Bristol,Culiseta melanura,WNV,Aug,2018,7
Bristol,Culiseta melanura,WNV,Aug,2019,3
Bristol,Culiseta melanura,WNV,Sep,2015,1
Bristol,Culiseta melanura,WNV,Sep,2017,3
Bristol,Culiseta melanura,WNV,Sep,2018,15
Bristol,Culiseta melanura,WNV,Sep,2019,3
Bristol,Culiseta melanura,WNV,Sep,2020,1
Bristol,Culiseta melanura,WNV,Oct,2018,1
Bristol,Culiseta melanura,WNV,Oct,2019,1
Bristol,Ochlerotatus canadensis,EEE,Jul,2019,3
Bristol,Ochlerotatus canadensis,EEE,Aug,2019,10
Bristol,Ochlerotatus canadensis,EEE,Sep,2019,2
Bristol,Ochlerotatus canadensis,WNV,Aug,2018,1
Bristol,Ochlerotatus canadensis,WNV,Sep,2017,2
Bristol,Ochlerotatus japonicus,WNV,Sep,2016,1
Dukes,Culex pipiens/restuans complex,WNV,Aug,2018,1
